                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.63516,                0.45574,                0.95558,                0.89813,                0.93701,                0.96296,                0.84206,                 0.5716,                0.39091,                0.93545,               0.008845,               0.008845,               0.008845
                     38,                0.63926,                0.45694,                0.95878,                0.91204,                0.92556,                0.96323,                0.84473,                 0.5612,                0.38257,                0.92928,               0.008812,               0.008812,               0.008812
                     39,                0.63124,                0.44615,                0.95561,                0.90013,                0.93137,                 0.9622,                0.84552,                0.56772,                0.37888,                0.93217,               0.008779,               0.008779,               0.008779
                     40,                0.63186,                0.45083,                0.95385,                0.91571,                0.92239,                0.96366,                0.84788,                0.55691,                0.37789,                0.92915,               0.008746,               0.008746,               0.008746
                     41,                0.62463,                0.45222,                0.94773,                 0.9062,                0.92743,                0.96369,                0.84916,                0.56127,                0.38323,                0.92782,               0.008713,               0.008713,               0.008713
                     42,                0.62553,                0.44711,                0.95079,                0.90877,                0.92393,                0.96454,                0.85017,                 0.5556,                 0.3845,                0.92718,                0.00868,                0.00868,                0.00868
                     43,                0.61989,                0.43855,                0.95157,                0.89963,                0.92925,                0.96152,                0.84831,                0.55706,                0.38555,                0.92552,               0.008647,               0.008647,               0.008647
                     44,                0.61388,                0.43272,                0.94513,                0.90321,                0.93856,                0.96367,                0.85359,                0.55147,                0.37605,                0.92468,               0.008614,               0.008614,               0.008614
                     45,                0.61563,                0.43358,                0.94926,                0.92647,                0.91442,                0.96612,                0.85202,                0.54958,                0.37088,                0.92347,               0.008581,               0.008581,               0.008581
                     46,                0.60806,                0.43514,                0.94439,                0.88921,                0.94651,                0.96728,                0.85649,                0.54577,                0.36685,                0.91876,               0.008548,               0.008548,               0.008548
                     47,                0.60145,                0.42661,                0.93992,                0.91534,                 0.9267,                0.96652,                 0.8578,                0.54098,                0.36426,                0.92019,               0.008515,               0.008515,               0.008515
                     48,                0.60066,                0.41838,                0.94185,                0.90621,                0.93034,                0.96491,                0.85762,                0.53019,                 0.3633,                0.91377,               0.008482,               0.008482,               0.008482
                     49,                0.59725,                0.42144,                0.93866,                0.92208,                0.91387,                0.96644,                0.86014,                0.52916,                0.35686,                0.91387,               0.008449,               0.008449,               0.008449
                     50,                0.59537,                0.41496,                0.93518,                0.91023,                0.93131,                0.96761,                0.86434,                0.52689,                  0.358,                0.91075,               0.008416,               0.008416,               0.008416
                     51,                0.58473,                0.41141,                0.93139,                0.92397,                0.91706,                0.96509,                0.86178,                0.52278,                0.35978,                 0.9139,               0.008383,               0.008383,               0.008383
                     52,                 0.5893,                0.41548,                0.93261,                0.91389,                0.92866,                0.96571,                0.86058,                0.52641,                0.36003,                0.91105,                0.00835,                0.00835,                0.00835
                     53,                0.58608,                0.41368,                0.93428,                0.92204,                0.91956,                0.96864,                0.86261,                0.52505,                0.35877,                0.91275,               0.008317,               0.008317,               0.008317
                     54,                0.58502,                0.40753,                0.93421,                 0.9104,                0.93444,                0.97076,                0.86684,                0.51627,                0.35305,                0.91094,               0.008284,               0.008284,               0.008284
                     55,                 0.5794,                0.41376,                 0.9329,                0.89519,                0.94892,                0.96699,                0.86223,                0.51852,                0.35589,                0.90954,               0.008251,               0.008251,               0.008251
                     56,                 0.5798,                0.40794,                0.92805,                0.91799,                0.92495,                 0.9676,                0.86504,                0.51506,                0.35323,                0.90844,               0.008218,               0.008218,               0.008218
                     57,                0.57107,                0.40208,                0.92826,                0.92145,                0.92516,                0.96844,                0.86717,                0.51336,                0.35042,                0.90989,               0.008185,               0.008185,               0.008185
                     58,                 0.5761,                0.40084,                0.92943,                0.91402,                0.93059,                0.96753,                0.86859,                0.51294,                0.35137,                0.90714,               0.008152,               0.008152,               0.008152
                     59,                0.57125,                0.40263,                0.92849,                 0.9196,                0.93081,                0.96926,                0.86823,                0.51169,                0.34951,                0.90914,               0.008119,               0.008119,               0.008119
                     60,                0.57155,                0.40014,                0.92873,                0.91572,                0.93795,                0.97009,                   0.87,                0.51079,                0.34315,                 0.9072,               0.008086,               0.008086,               0.008086
                     61,                0.56734,                0.39517,                0.92406,                0.91371,                0.93842,                0.96772,                0.86955,                0.50628,                0.34827,                 0.9016,               0.008053,               0.008053,               0.008053
                     62,                0.56239,                0.38999,                0.91665,                0.91695,                0.93244,                 0.9681,                0.87043,                0.50057,                0.34747,                 0.8995,                0.00802,                0.00802,                0.00802
                     63,                0.56186,                0.38793,                0.91885,                0.92172,                0.93659,                0.96928,                0.87268,                0.50033,                0.34604,                0.90042,               0.007987,               0.007987,               0.007987
                     64,                0.56422,                0.38803,                0.92411,                0.92858,                0.92594,                0.96939,                0.87294,                 0.4961,                0.34229,                 0.9009,               0.007954,               0.007954,               0.007954
                     65,                0.55883,                0.39183,                0.92411,                0.92711,                0.92875,                0.97019,                0.87437,                0.49683,                0.34305,                0.89965,               0.007921,               0.007921,               0.007921
                     66,                0.55898,                 0.3909,                0.92203,                0.92642,                0.93225,                0.96949,                0.87116,                0.49615,                0.34183,                0.89817,               0.007888,               0.007888,               0.007888
                     67,                0.55465,                0.38992,                0.91693,                0.92194,                0.93599,                0.97016,                0.87418,                0.49599,                0.33434,                0.89685,               0.007855,               0.007855,               0.007855
                     68,                0.55338,                0.38416,                0.91866,                0.92233,                0.93296,                0.96909,                0.87619,                0.49524,                0.33786,                 0.8981,               0.007822,               0.007822,               0.007822
                     69,                0.54747,                0.38239,                  0.919,                0.92799,                0.92916,                0.97015,                0.87851,                0.49106,                0.33692,                0.89768,               0.007789,               0.007789,               0.007789
                     70,                0.54954,                0.38172,                0.91768,                0.91303,                0.94424,                0.97022,                0.87778,                0.49183,                0.33579,                0.89853,               0.007756,               0.007756,               0.007756
                     71,                0.55039,                0.38147,                0.92009,                0.92746,                0.93132,                0.97048,                0.87711,                0.49137,                0.33405,                 0.8988,               0.007723,               0.007723,               0.007723
                     72,                0.54307,                0.37558,                0.91179,                0.91389,                0.93972,                0.97091,                0.87736,                0.48685,                0.33085,                0.89498,                0.00769,                0.00769,                0.00769
                     73,                0.54738,                0.37505,                 0.9144,                0.92878,                0.93025,                 0.9704,                0.87771,                0.48765,                0.33062,                0.89098,               0.007657,               0.007657,               0.007657
                     74,                0.54333,                0.37295,                0.91251,                0.91506,                0.94497,                0.96951,                0.87836,                0.48443,                0.32945,                0.89181,               0.007624,               0.007624,               0.007624
                     75,                0.53786,                0.37062,                0.91348,                0.92464,                0.93749,                0.97104,                0.88053,                0.48328,                0.33259,                0.89048,               0.007591,               0.007591,               0.007591
                     76,                0.54135,                0.37703,                0.91469,                0.91505,                0.94611,                0.97033,                0.87994,                0.47943,                0.32626,                0.89125,               0.007558,               0.007558,               0.007558
                     77,                0.53539,                0.36859,                0.90633,                0.92738,                0.93836,                0.97139,                0.88405,                0.47652,                0.32683,                0.89005,               0.007525,               0.007525,               0.007525
                     78,                 0.5305,                0.37461,                0.90893,                 0.9302,                0.93784,                0.97209,                0.88521,                0.47454,                0.32617,                0.89013,               0.007492,               0.007492,               0.007492
                     79,                0.53347,                0.36951,                0.90724,                0.93767,                 0.9271,                 0.9712,                0.88485,                0.47078,                 0.3251,                0.88756,               0.007459,               0.007459,               0.007459
                     80,                0.52667,                0.36648,                0.90635,                0.92854,                0.93726,                0.97082,                0.88299,                0.47156,                0.32333,                0.88929,               0.007426,               0.007426,               0.007426
                     81,                0.52455,                0.35978,                0.90667,                0.93066,                 0.9349,                0.97152,                0.88409,                0.47046,                0.32283,                0.88814,               0.007393,               0.007393,               0.007393
                     82,                0.52661,                0.35939,                0.90799,                0.94065,                0.92707,                0.97148,                0.88356,                0.47068,                0.32377,                0.88808,                0.00736,                0.00736,                0.00736
                     83,                0.52454,                0.36298,                0.91218,                0.93082,                0.93141,                0.96984,                0.88448,                 0.4671,                0.32364,                0.88661,               0.007327,               0.007327,               0.007327
